iter	RMSE
0	86.63784705
1	83.10957954
2	80.2559931
3	77.92823983
4	75.77134993
5	73.90831607
6	72.32527884
7	71.05182522
8	69.88766223
9	68.9275526
10	68.15017256
11	67.45667837
12	66.74419062
13	66.15818573
14	65.70928296
15	65.23837228
16	64.85623299
17	64.58802671
18	64.26470687
19	64.01660694
20	63.81946318
21	63.6270873
22	63.41526837
23	63.25433523
24	63.1056413
25	62.9813363
26	62.82688036
27	62.68122635
28	62.52035248
29	62.42304438
30	62.30313219
31	62.22252373
32	62.11926948
33	62.0371873
34	61.95543359
35	61.84062994
36	61.74255827
37	61.69912049
38	61.62821749
39	61.54206749
40	61.50069076
41	61.46048504
42	61.41782373
43	61.36931831
44	61.3272897
45	61.24595581
46	61.22211847
47	61.19369549
48	61.14882996
49	61.11357942
50	61.08071828
51	60.98258678
52	60.92703654
53	60.89084728
54	60.83286983
55	60.80372465
56	60.77216916
57	60.7575541
58	60.71821449
59	60.70148131
60	60.68272407
61	60.63205911
62	60.61036284
63	60.57545269
64	60.50714244
65	60.46555449
66	60.44616866
67	60.40241163
68	60.38450344
69	60.35268486
70	60.33031594
71	60.27355046
72	60.26536537
73	60.232609
74	60.21167009
75	60.19480755
76	60.18309488
77	60.16515228
78	60.14716513
79	60.1219455
80	60.11317377
81	60.10418452
82	60.08145971
83	60.06721085
84	60.04457771
85	59.97835046
86	59.93731691
87	59.91664833
88	59.90041644
89	59.88868336
90	59.87434973
91	59.86198491
92	59.85426759
93	59.84747184
94	59.83567573
95	59.82514892
96	59.8040706
97	59.79389326
98	59.77967514
99	59.7704516
100	59.7621877
101	59.73680297
102	59.72943659
103	59.72245517
104	59.71544923
105	59.69651843
106	59.6899152
107	59.6839747
108	59.67862231
109	59.67379288
110	59.66942939
111	59.63734953
112	59.61835424
113	59.59237783
114	59.58651525
115	59.57852659
116	59.57169258
117	59.54906924
118	59.52485385
119	59.51075668
120	59.505825
121	59.47708925
122	59.4627292
123	59.45717228
124	59.4523373
125	59.40562671
126	59.38263862
127	59.37920814
128	59.35773383
129	59.34620926
130	59.34272791
131	59.33851931
132	59.33376709
133	59.29338428
134	59.28183003
135	59.27105224
136	59.23449665
137	59.22814006
138	59.18325368
139	59.16157943
140	59.15943358
141	59.14889631
142	59.12661585
143	59.12139863
144	59.11834642
145	59.10875124
146	59.06966721
147	59.06650215
148	59.0497916
149	59.04794167
150	59.01452658
151	58.97611028
152	58.95820905
153	58.95297591
154	58.94998556
155	58.92931979
156	58.9268233
157	58.90283874
158	58.89322524
159	58.87903564
160	58.87766202
161	58.87602015
162	58.86504983
163	58.84574581
164	58.84029017
165	58.82872266
166	58.79036479
167	58.76681544
168	58.76623889
169	58.76180021
170	58.75244846
171	58.72294595
172	58.70510312
173	58.69876201
174	58.69745417
175	58.69101795
176	58.6863515
177	58.67546937
178	58.67418885
179	58.67147536
180	58.66768454
181	58.65077507
182	58.64656009
183	58.61534551
184	58.60595642
185	58.58053592
186	58.55761995
187	58.55498527
188	58.55291673
189	58.55250785
190	58.55062986
191	58.50632247
192	58.50344987
193	58.49897948
194	58.49711573
195	58.46588836
196	58.44128488
197	58.4287993
198	58.38598585
199	58.37160642
200	58.34615037
201	58.28663591
202	58.19983695
203	58.1909593
204	58.17721555
205	58.15576853
206	58.15172542
207	58.11874479
208	58.11413385
209	58.03625696
210	58.01960916
211	58.01254274
212	58.00747897
213	57.9896892
214	57.98208201
215	57.95198539
216	57.9365587
217	57.93127308
218	57.92061993
219	57.91796851
220	57.9175847
221	57.90145322
222	57.89454984
223	57.88268537
224	57.87862587
225	57.87665159
226	57.86353646
227	57.85838939
228	57.85392375
229	57.85153822
230	57.78157006
231	57.77232563
232	57.76203335
233	57.69936174
234	57.69665601
235	57.69624154
236	57.69584798
237	57.68945951
238	57.6848015
239	57.67303115
240	57.66913768
241	57.66282872
242	57.64909738
243	57.64521089
244	57.6414563
245	57.6394604
246	57.62887663
247	57.61441856
248	57.5968735
249	57.58641034
250	57.5844413
251	57.56597375
252	57.55456143
253	57.55276383
254	57.53823905
255	57.53244285
256	57.49668782
257	57.49113934
258	57.48779111
259	57.4715978
260	57.45106343
261	57.44839648
262	57.39299827
263	57.39135288
264	57.38330252
265	57.38048197
266	57.37259774
267	57.36844979
268	57.36471224
269	57.3568537
270	57.3422037
271	57.31980753
272	57.31060014
273	57.28931492
274	57.28375436
275	57.27417396
276	57.24910071
277	57.23557904
278	57.21226445
279	57.20129567
280	57.19793662
281	57.19352729
282	57.18647698
283	57.17388883
284	57.16470149
285	57.14273183
286	57.13405349
287	57.13382942
288	57.11558215
289	57.11108157
290	57.06079196
291	57.04719168
292	57.04225566
293	57.02264098
294	57.01001052
295	57.00781231
296	57.00614967
297	56.9931721
298	56.97506174
299	56.97316805
300	56.96624285
301	56.95604047
302	56.95240671
303	56.93917128
304	56.91781793
305	56.91259885
306	56.90447605
307	56.88317988
308	56.8760654
309	56.87162746
310	56.83694862
311	56.83522862
312	56.81910943
313	56.81304942
314	56.79823093
315	56.79121851
316	56.78605158
317	56.77353752
318	56.76516662
319	56.75855596
320	56.75579059
321	56.75282
322	56.74699092
323	56.7443614
324	56.71369608
325	56.69191491
326	56.6735912
327	56.67289667
328	56.66295585
329	56.65476569
330	56.65275734
331	56.63364939
332	56.6305438
333	56.61937866
334	56.60867688
335	56.59887447
336	56.59437579
337	56.57924733
338	56.57832291
339	56.56642631
340	56.55636247
341	56.54986978
342	56.52280706
343	56.51769178
344	56.51500346
345	56.51199462
346	56.51178464
347	56.50144397
348	56.49115117
349	56.47339549
350	56.4666382
351	56.45837847
352	56.45333502
353	56.44748562
354	56.43818705
355	56.43664101
356	56.43557198
357	56.4282262
358	56.42227482
359	56.41836415
360	56.4116749
361	56.41110806
362	56.3855954
363	56.37884648
364	56.37371577
365	56.3589151
366	56.35369968
367	56.35238281
368	56.34983923
369	56.34863803
370	56.34277178
371	56.33084628
372	56.31962706
373	56.31446399
374	56.30574535
375	56.303256
376	56.29364828
377	56.28417943
378	56.27808892
379	56.27532963
380	56.27319289
381	56.26251608
382	56.25808641
383	56.24455738
384	56.23792136
385	56.23626421
386	56.23514901
387	56.23289965
388	56.23196029
389	56.23072857
390	56.22869336
391	56.22540979
392	56.21550079
393	56.20006121
394	56.19976786
395	56.19941998
396	56.18958895
397	56.18492063
398	56.1799125
399	56.17180083
400	56.1637419
401	56.14088564
402	56.12792793
403	56.1190868
404	56.1107235
405	56.0834492
406	56.07783658
407	56.06387326
408	56.05995789
409	56.05277568
410	56.04250253
411	56.03845045
412	56.03232106
413	56.03141728
414	56.02793909
415	56.01871809
416	56.01683812
417	56.0162571
418	56.00984984
419	56.00573749
420	55.99866579
421	55.9739128
422	55.97228741
423	55.95830406
424	55.95727061
425	55.94946051
426	55.94627898
427	55.93330705
428	55.92197068
429	55.92106737
430	55.92090505
431	55.91836026
432	55.91657335
433	55.90574407
434	55.89902959
435	55.89034608
436	55.88339706
437	55.87922468
438	55.87905302
439	55.87894305
440	55.87495948
441	55.85766345
442	55.8549349
443	55.85200711
444	55.84955082
445	55.84130279
446	55.84116218
447	55.83566487
448	55.83266976
449	55.83143947
450	55.82730459
451	55.82479112
452	55.82329666
453	55.82313644
454	55.8210209
455	55.81552472
456	55.80431775
457	55.80228812
458	55.79580419
459	55.79357015
460	55.78923522
461	55.78845114
462	55.78411955
463	55.78178854
464	55.77691119
465	55.77564861
466	55.73481
467	55.72675111
468	55.72311762
469	55.71918259
470	55.7125926
471	55.6958632
472	55.69455445
473	55.68940797
474	55.68616457
475	55.68514748
476	55.67412683
477	55.66598561
478	55.66435951
479	55.66005037
480	55.6539814
481	55.65041144
482	55.64827023
483	55.64148296
484	55.62013351
485	55.60975028
486	55.60789188
487	55.60038765
488	55.58970888
